ID,substrate,method,GCI,CPV,CV+,CV-,area,time,Fe_valence,Ni,Fe,dopant_Z,dopant_conc,pH,c_KOH,iR,cur_density,overpotential
10.1016/j.jechem.2022.01.020,26,2,,-1.0,,,1.0,600,3,0.001,0.001,,,2.5,1,0.9,10,250.0
10.1016/j.jechem.2022.01.020,26,2,,-1.0,,,1.0,600,3,0.002,0.001,,,2.5,1,0.9,10,230.0
10.1016/j.jechem.2022.01.020,26,2,,-1.0,,,1.0,600,3,0.003,0.001,,,2.5,1,0.9,10,260.0
10.1016/j.jechem.2022.01.020,26,2,,-1.0,,,1.0,300,3,0.002,0.001,,,2.5,1,0.9,10,240.0
10.1016/j.jechem.2022.01.020,26,2,,-1.0,,,1.0,900,3,0.002,0.001,,,2.5,1,0.9,10,241.0
10.1016/j.ijhydene.2020.10.174,29,1,0.06,,,,1.0,3600,2,0.1,0.014,42,0.02,6.0,1,0.9,100,426.0
10.1016/j.jelechem.2024.118702,26,2,,-1.0,,,0.03,600,3,0.25,0.05,,,3.0,1,1.0,10,325.0
10.1016/j.jelechem.2024.118702,28,2,,-1.0,,,0.03,600,3,0.25,0.05,,,3.0,1,1.0,10,332.0
10.1016/j.jelechem.2024.118702,26,2,,-1.15,,,0.03,600,3,0.25,0.05,,,3.0,1,1.0,10,273.0
10.1016/j.jelechem.2024.118702,26,2,,-1.3,,,0.03,600,3,0.25,0.05,,,3.0,1,1.0,10,254.0
10.1016/j.jelechem.2024.118702,26,2,,-1.45,,,0.03,600,3,0.25,0.05,,,3.0,1,1.0,10,236.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.006,0.018,,,5.5,1,0.9,10,270.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.008,0.016,,,5.5,1,0.9,10,265.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.012,0.012,,,5.5,1,0.9,10,255.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.016,0.008,,,6.0,1,0.9,10,235.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.018,0.006,,,6.0,1,0.9,10,241.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.006,0.018,,,5.5,1,0.9,100,333.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.008,0.016,,,5.5,1,0.9,100,321.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.012,0.012,,,5.5,1,0.9,100,308.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.016,0.008,,,6.0,1,0.9,100,286.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.018,0.006,,,6.0,1,0.9,100,297.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.008,0.004,,,6.0,1,0.9,10,243.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.032,0.016,,,5.5,1,0.9,10,216.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.064,0.032,,,5.5,1,0.9,10,210.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.128,0.064,,,5.0,1,0.9,10,218.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.008,0.004,,,6.0,1,0.9,100,310.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.032,0.016,,,5.5,1,0.9,100,282.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.064,0.032,,,5.5,1,0.9,100,265.0
10.1021/acssuschemeng.0c03017,26,1,0.05,,,,1.0,120,2,0.128,0.064,,,5.0,1,0.9,100,271.0
10.1021/acssuschemeng.0c03017,26,1,0.01,,,,1.0,600,2,0.064,0.032,,,5.5,1,0.9,10,242.0
10.1021/acssuschemeng.0c03017,26,1,0.01,,,,1.0,600,2,0.064,0.032,,,5.5,1,0.9,100,291.0
10.1021/acssuschemeng.0c03017,26,1,0.1,,,,1.0,60,2,0.064,0.032,,,5.5,1,0.9,10,216.0
10.1021/acssuschemeng.0c03017,26,1,0.1,,,,1.0,60,2,0.064,0.032,,,5.5,1,0.9,100,268.0
10.1021/acssuschemeng.0c03017,26,1,0.15,,,,1.0,40,2,0.064,0.032,,,5.5,1,0.9,10,220.0
10.1021/acssuschemeng.0c03017,26,1,0.15,,,,1.0,40,2,0.064,0.032,,,5.5,1,0.9,100,275.0
10.1021/acssuschemeng.0c03017,26,1,0.2,,,,1.0,30,2,0.064,0.032,,,5.5,1,0.9,10,229.0
10.1021/acssuschemeng.0c03017,26,1,0.2,,,,1.0,30,2,0.064,0.032,,,5.5,1,0.9,100,286.0
10.1039/c6ta05952j,28,3,,,-1.0,-0.3,1.0,2100,2,0.0375,0.0125,,,5.5,1,0.9,20,220.0
10.1016/j.ijhydene.2020.12.110,29,1,0.04,,,,4.0,600,2,1.0,0.25,,,2.5,1,0.9,100,451.0
10.1016/j.jallcom.2020.154708,29,2,,-1.3,,,1.0,300,2,0.0375,0.0125,,,2.0,1,0.9,50,490.0
10.13353/j.issn.1004.9533.20210304,28,1,3.0,,,,1.5,180,2,0.2,0.05,,,4.5,1,0.9,10,210.0
10.13353/j.issn.1004.9533.20242022,28,1,0.2,,,,1.0,1800,2,0.0375,0.0125,,,4.5,1,0.85,10,250.0
10.16813/j.cnki.cn35-1286/g4.2016.05.004,28,2,,-1.1,,,1.0,300,3,0.06,0.06,,,3.0,1,0.85,10,220.0
